Releve number,Luzula confusa,Eriophorum vaginatum,Carex bigelowii,Arctagrostis latifolia,Rubus chamaemorus,Rhododendron tomentosum s. tomentosum,Vaccinium vitis-idaea,Pedicularis lapponica,Aulacomnium turgidum,Dicranum species,Polytrichum species,Bryocaulon divergens,Cetraria islandica,Cladonia coccifera s. lat.,Cladonia mitis,Dactylina arctica,Flavocetraria cucullata,Thamnolia vermicularis s. subuliformis,Carex aquatilis,Drepanocladus species,Cladonia uncialis,Unknown bryophyte,HierochloÙ alpina,Alectoria ochroleuca,Sphaerophorus globosus,Unknown lichen crustose,Betula nana,Cassiope tetragona [s. tetragona],Luzula nivalis,Flavocetraria nivalis,Salix pulchra,Empetrum nigrum,Poa arctica,Racomitrium species,Gowardia nigricans,Eriophorum russeolum,Sphagnum species,Cladonia amaurocraea,Eriophorum angustifolium,Bistorta plumosa,Number of species
13083,0.1,35,1,0.1,20,5,15,0.1,5,30,0.1,3,0.1,0.1,0.1,0.1,1,1,,,,,,,,,,,,,,,,,,,,,,,18
13084,0.1,25,,,15,15,20,,3,30,,1,0.1,,0.1,1,3,0.1,5,1,0.1,10,,,,,,,,,,,,,,,,,,,17
13085,0.1,20,,,3,15,20,,1,25,,,,,,0.1,3,0.1,3,,,,0.1,0.1,0.1,5,,,,,,,,,,,,,,,15
13086,3,30,3,,10,15,15,,1,10,,1,,,,0.1,0.1,0.1,,,,,0.1,0.1,,5,1,,,,,,,,,,,,,,16
13087,1,25,,,3,5,10,,3,25,1,1,,0.1,0.1,0.1,0.1,0.1,3,,0.1,,,0.1,0.1,20,,0.1,,,,,,,,,,,,,20
13088,1,25,0.1,,15,25,15,,5,5,1,,,0.1,0.1,0.1,1,,,,,,3,0.1,0.1,5,,,,,,,,,,,,,,,17
13089,,25,0.1,,3,20,15,,,30,,,0.1,,,0.1,1,0.1,1,,0.1,,1,1,0.1,10,,,,,,,,,,,,,,,16
13090,,40,1,,5,10,15,0.1,15,20,,0.1,0.1,,,0.1,3,1,,,,,0.1,,,,,,0.1,0.1,,,,,,,,,,,16
13091,,35,3,,5,3,10,,3,25,,,,,0.1,0.1,1,0.1,,,,,,1,,,,5,,,3,1,,,,,,,,,15
13092,0.1,35,,,5,15,15,,5,1,0.1,,,,,0.1,0.1,0.1,,,0.1,,,,,5,,,0.1,0.1,,,5,,,,,,,,16
13093,,5,,0.1,20,3,10,,15,5,3,0.1,,,,,0.1,0.1,1,,,1,0.1,0.1,0.1,20,,,,,,,,30,0.1,,,,,,19
13094,,,,,10,5,10,0.1,10,60,,,0.1,,0.1,0.1,0.1,0.1,3,,,,,0.1,,,15,3,,,1,,,,,1,20,0.1,,,19
13095,,25,3,,5,5,5,,40,30,,1,0.1,,,0.1,0.1,0.1,,,,,0.1,0.1,,,,,,,,,,0.1,,,,,,,15
13096,,25,1,,3,1,5,,15,40,,,,,,0.1,1,0.1,,,,,,0.1,,5,5,,,,,,,,0.1,,,,,,14
13097,,10,0.1,,5,15,15,,15,40,0.1,0.1,,,,0.1,0.1,0.1,,,,,1,,,5,,1,,,,,,,,,,,,,15
13098,,5,,,,10,30,,40,15,0.1,0.1,0.1,,,0.1,1,0.1,1,,0.1,,,1,,,30,3,,,1,,,0.1,,,,,0.1,,19
13099,,30,3,,3,10,15,,20,3,1,,0.1,,,0.1,0.1,0.1,,,,,,1,,5,1,,1,,10,,1,,0.1,,,,,,19
13100,,10,1,,40,20,15,,3,,3,,,,0.1,0.1,0.1,0.1,,,,,,0.1,,5,,,,,,,5,,,,,,,0.1,15
13101,,15,1,,1,10,15,,10,15,0.1,0.1,0.1,,0.1,0.1,1,0.1,1,3,,,,1,,,40,,,,,,1,,,,,,,1,20
13102,,,,,1,3,15,,70,20,1,,0.1,,,0.1,0.1,0.1,,,0.1,,,,,,3,5,,,5,5,,,,,,,,,15
